iteration;tlstart;n_passagges;passagge 0;tlfinal;time
0;33538.401726;1;33538.401726;3593.376641;0.000404
1;32637.668600;1;32637.668600;3572.311739;0.000334
2;33999.847025;1;33999.847025;3205.228867;0.000337
3;34452.891029;1;34452.891029;3297.064274;0.000359
4;33919.492124;1;33919.492124;3422.247201;0.000350
5;33699.217832;1;33699.217832;3330.350752;0.000354
6;33089.651375;1;33089.651375;3479.152434;0.000354
7;34772.629517;1;34772.629517;3454.853837;0.000595
8;33271.991756;1;33271.991756;3472.274032;0.000571
9;33961.368381;1;33961.368381;3457.753555;0.000570
10;34167.249445;1;34167.249445;3450.510833;0.000621
11;34390.701622;1;34390.701622;3297.730587;0.000608
12;33556.748834;1;33556.748834;3422.999665;0.000577
13;35728.326114;1;35728.326114;3352.839989;0.000586
14;34114.003293;1;34114.003293;3418.487521;0.000345
15;32838.262646;1;32838.262646;3553.258585;0.000339
16;34183.555715;1;34183.555715;3321.029289;0.000372
17;34355.843672;1;34355.843672;3436.907887;0.000378
18;35016.081929;1;35016.081929;3346.325883;0.000372
19;34109.377776;1;34109.377776;3344.006986;0.000351
20;32567.371147;1;32567.371147;3425.619391;0.000377
21;36226.580570;1;36226.580570;3312.556268;0.000376
22;33765.830128;1;33765.830128;3203.062283;0.000373
23;35286.331742;1;35286.331742;3371.282176;0.000382
24;35820.785926;1;35820.785926;3342.141290;0.000367
25;34229.435336;1;34229.435336;3167.260923;0.000385
26;33228.935384;1;33228.935384;3263.090900;0.000352
27;34935.829426;1;34935.829426;3469.446930;0.000364
28;32866.942173;1;32866.942173;3407.432260;0.000370
29;34274.922724;1;34274.922724;3445.027041;0.000376
30;34385.304960;1;34385.304960;3451.849348;0.000375
31;35696.698926;1;35696.698926;3407.778871;0.000333
32;33622.798210;1;33622.798210;3556.229129;0.000324
33;35118.932261;1;35118.932261;3151.936092;0.000403
34;33319.003770;1;33319.003770;3446.218648;0.000383
35;34257.674161;1;34257.674161;3323.174439;0.000359
36;35060.663357;1;35060.663357;3206.643565;0.000370
37;35702.213302;1;35702.213302;3394.333839;0.000375
38;34028.361752;1;34028.361752;3565.473076;0.000381
39;34413.262991;1;34413.262991;3529.077262;0.000374
40;34547.413316;1;34547.413316;3619.190038;0.000372
41;33935.932872;1;33935.932872;3508.083827;0.000377
42;34756.333748;1;34756.333748;3363.062820;0.000371
43;34569.992510;1;34569.992510;3397.462909;0.000377
44;34885.444180;1;34885.444180;3360.941080;0.000380
45;34289.143398;1;34289.143398;3290.546397;0.000378
46;35132.906214;1;35132.906214;3349.230260;0.000381
47;34776.043657;1;34776.043657;3395.717711;0.000378
48;34697.046919;1;34697.046919;3292.237646;0.000375
49;35353.963574;1;35353.963574;3363.752430;0.000370
50;33898.354110;1;33898.354110;3327.774522;0.000368
51;32164.452712;1;32164.452712;3313.472489;0.000377
52;31965.833820;1;31965.833820;3439.092373;0.000372
53;33733.740289;1;33733.740289;3400.601130;0.000379
54;33853.943996;1;33853.943996;3295.224603;0.000394
55;32799.525368;1;32799.525368;3346.042735;0.000370
56;32899.405392;1;32899.405392;3394.588043;0.000380
57;34119.951676;1;34119.951676;3341.294572;0.000377
58;34630.033760;1;34630.033760;3571.046793;0.000377
59;34688.110031;1;34688.110031;3480.742229;0.000374
60;33703.602057;1;33703.602057;3422.074854;0.000361
61;34110.131292;1;34110.131292;3360.158162;0.000379
62;34421.387746;1;34421.387746;3338.098749;0.000377
63;35247.753425;1;35247.753425;3260.500272;0.000386
64;32852.255235;1;32852.255235;3236.763592;0.000382
65;33412.524131;1;33412.524131;3293.778026;0.000377
66;32913.020712;1;32913.020712;3209.742595;0.000379
67;33492.322840;1;33492.322840;3404.639822;0.000382
68;33284.229382;1;33284.229382;3160.740611;0.000374
69;34244.146898;1;34244.146898;3372.790803;0.000359
70;33558.656029;1;33558.656029;3399.997568;0.000379
71;35049.259134;1;35049.259134;3503.059186;0.000389
72;34238.325364;1;34238.325364;3342.414531;0.000347
73;33674.706522;1;33674.706522;3201.161837;0.000378
74;33196.028420;1;33196.028420;3450.545245;0.000378
75;34606.276749;1;34606.276749;3388.143595;0.000376
76;34540.810290;1;34540.810290;3226.201354;0.000377
77;35559.863223;1;35559.863223;3370.883929;0.000371
78;32040.172647;1;32040.172647;3468.718289;0.000364
79;35467.009613;1;35467.009613;3129.755510;0.000379
80;34355.273723;1;34355.273723;3556.274214;0.000378
81;32540.169635;1;32540.169635;3347.767056;0.000375
82;33410.955865;1;33410.955865;3425.622035;0.000380
83;33951.476931;1;33951.476931;3438.122157;0.000365
84;33100.986971;1;33100.986971;3514.199804;0.000377
85;30783.345654;1;30783.345654;3397.437975;0.000378
86;34274.452444;1;34274.452444;3400.283497;0.000385
87;35280.787742;1;35280.787742;3289.812237;0.000378
88;34734.044598;1;34734.044598;3437.110290;0.000378
89;33073.292367;1;33073.292367;3444.129215;0.000357
90;36271.052486;1;36271.052486;3275.743032;0.000379
91;33723.032166;1;33723.032166;3400.883307;0.000390
92;33129.752224;1;33129.752224;3462.533724;0.000386
93;33549.604348;1;33549.604348;3475.649397;0.000384
94;34915.374077;1;34915.374077;3292.916106;0.000374
95;33201.767959;1;33201.767959;3304.641877;0.000367
96;31832.024100;1;31832.024100;3547.754410;0.000364
97;34016.712399;1;34016.712399;3182.952454;0.000354
98;34859.930351;1;34859.930351;3401.059425;0.000359
99;33490.385895;1;33490.385895;3332.417167;0.000390
