3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
bin_rand_perc020_015_010_010_001_10_00.lp, 2.696693, 3.272468, 2.434147
bin_rand_perc020_015_010_010_001_10_01.lp, 0.407689, 1.631921, 1.198957
bin_rand_perc020_015_010_010_001_10_02.lp, 0.333669, 0.432553, 0.966638
bin_rand_perc020_015_010_010_001_10_03.lp, 0.508871, 0.65055, 1.231117
bin_rand_perc020_015_010_010_001_10_04.lp, 0.286599, 2.096573, 1.156485
bin_rand_perc020_015_010_010_001_10_05.lp, 0.641216, 1.262551, 1.716439
bin_rand_perc020_015_010_010_001_10_06.lp, 0.670313, 1.470673, 1.883111
bin_rand_perc020_015_010_010_001_10_07.lp, 0.381168, 0.523063, 0.708076
bin_rand_perc020_015_010_010_001_10_08.lp, 2.933801, 1.990117, 3.929301
bin_rand_perc020_015_010_010_001_10_09.lp, 0.405967, 0.841485, 1.05179
bin_rand_perc020_015_010_010_002_10_00.lp, 2.170734, 9.147085, 5.760342
bin_rand_perc020_015_010_010_002_10_01.lp, 13.917608, 1.865224, 4.347907
bin_rand_perc020_015_010_010_002_10_02.lp, 0.651833, 0.962614, 1.44018
bin_rand_perc020_015_010_010_002_10_03.lp, 0.634724, 2.185601, 3.854545
bin_rand_perc020_015_010_010_002_10_04.lp, 1.179621, 3.070745, 4.126122
bin_rand_perc020_015_010_010_002_10_05.lp, 5.744268, 2.89925, 614.413586
bin_rand_perc020_015_010_010_002_10_06.lp, 0.214859, 0.421438, 0.91115
bin_rand_perc020_015_010_010_002_10_07.lp, 0.945791, 1.412276, 1.664501
bin_rand_perc020_015_010_010_002_10_08.lp, 0.745322, 1.904041, 3.245464
bin_rand_perc020_015_010_010_002_10_09.lp, 0.239347, 0.52486, 1.502508
bin_rand_perc020_015_010_010_004_10_00.lp, 0.069183, 0.258037, 0.900863
bin_rand_perc020_015_010_010_004_10_01.lp, 1.076149, 2.110843, 6.269981
bin_rand_perc020_015_010_010_004_10_02.lp, 0.079258, 0.095501, 0.159209
bin_rand_perc020_015_010_010_004_10_03.lp, 26.221185, 12.016698, 6.690364
bin_rand_perc020_015_010_010_004_10_04.lp, 0.709018, 1.856387, 2.169048
bin_rand_perc020_015_010_010_004_10_05.lp, 0.804604, 1.471667, 3.460723
bin_rand_perc020_015_010_010_004_10_06.lp, 2.173836, 2.269025, 4.270189
bin_rand_perc020_015_010_010_004_10_07.lp, 0.224247, 0.449182, 0.72868
bin_rand_perc020_015_010_010_004_10_08.lp, 0.498792, 1.386905, 1.812108
bin_rand_perc020_015_010_010_004_10_09.lp, 3600.003347, 63.975976, 228.905869
bin_rand_perc030_015_005_010_001_10_00.lp, 0.208407, 0.328308, 0.750548
bin_rand_perc030_015_005_010_001_10_01.lp, 0.225705, 1.056106, 0.94484
bin_rand_perc030_015_005_010_001_10_02.lp, 0.354436, 0.762435, 2.113618
bin_rand_perc030_015_005_010_001_10_03.lp, 36.159578, 4.637835, 10.163306
bin_rand_perc030_015_005_010_001_10_04.lp, 0.196853, 1.004968, 0.721937
bin_rand_perc030_015_005_010_001_10_05.lp, 0.24024, 0.635326, 0.737614
bin_rand_perc030_015_005_010_001_10_06.lp, 0.018336, 0.319588, 0.456353
bin_rand_perc030_015_005_010_001_10_07.lp, 5.58276, 5.560428, 10.589548
bin_rand_perc030_015_005_010_001_10_08.lp, 0.859962, 1.688605, 1.754443
bin_rand_perc030_015_005_010_001_10_09.lp, 4.327489, 5.427236, 5.964476
bin_rand_perc030_015_005_010_002_10_00.lp, 0.52723, 0.150758, 0.42686
bin_rand_perc030_015_005_010_002_10_01.lp, 1.055888, 2.084803, 2.944439
bin_rand_perc030_015_005_010_002_10_02.lp, 37.557186, 8.454654, 13.270871
