3,algorithm_nng,algorithm_em,algorithm_nn
instance: 0, 0.015000, 0.061000, 0.032000
instance: 1, 0.009000, 0.054000, 0.021000
instance: 2, 0.007000, 0.051000, 0.023000
instance: 3, 0.036000, 0.071000, 0.027000
instance: 4, 0.007000, 0.053000, 0.020000
instance: 5, 0.007000, 0.043000, 0.017000
instance: 6, 0.007000, 0.046000, 0.017000
instance: 7, 0.007000, 0.051000, 0.018000
instance: 8, 0.008000, 0.043000, 0.017000
instance: 9, 0.007000, 0.044000, 0.018000
instance: 10, 0.007000, 0.064000, 0.019000
instance: 11, 0.008000, 0.045000, 0.017000
instance: 12, 0.007000, 0.107000, 0.031000
instance: 13, 0.016000, 0.073000, 0.029000
instance: 14, 0.011000, 0.074000, 0.029000
instance: 15, 0.015000, 0.071000, 0.029000
instance: 16, 0.016000, 0.069000, 0.039000
instance: 17, 0.010000, 0.071000, 0.030000
instance: 18, 0.012000, 0.085000, 0.051000
instance: 19, 0.012000, 0.073000, 0.029000
instance: 20, 0.010000, 0.071000, 0.026000
instance: 21, 0.010000, 0.077000, 0.030000
instance: 22, 0.015000, 0.071000, 0.031000
instance: 23, 0.011000, 0.102000, 0.029000
instance: 24, 0.013000, 0.074000, 0.030000
instance: 25, 0.013000, 0.078000, 0.031000
instance: 26, 0.032000, 0.069000, 0.028000
instance: 27, 0.010000, 0.068000, 0.027000
instance: 28, 0.012000, 0.066000, 0.028000
instance: 29, 0.011000, 0.090000, 0.029000
